product_id,product_category,product_name,product_stock,unit_price_cop
1480,Tecnología,Smartphone,48,209421
1597,Alimentos,Arroz Integral,80,3444405
5142,Juguetes,Lego Star Wars,14,1138504
8447,Juguetes,Muñeca Barbie,69,2307502
6025,Ropa,Camisa de Algodón,25,3307641
1883,Ropa,Pantalón de Mezclilla,74,3163928
7781,Juguetes,Pelota de Fútbol,20,1432375
8642,Alimentos,Frijoles Negros,60,74552
7193,Alimentos,Aceite de Oliva,45,1932676
7739,Ropa,Abrigo de Lana,61,2578923
1804,Muebles,Mesa de Madera,22,812832
6986,Tecnología,Computador,15,3688238
568,Ropa,Zapatos Deportivos,47,2827347
1376,Ropa,Vestido de Verano,40,341256
7339,Alimentos,Leche Deslactosada,49,3433622
1149,Ropa,Falda Plisada,43,369435
3009,Alimentos,Harina de Trigo,28,1646134
7414,Alimentos,Pasta de Trigo Duro,6,1019220
5266,Juguetes,Rompecabezas 3D,79,770291
3281,Muebles,Silla Giratoria,56,1758805
2012,Muebles,Sofá de Cuero,90,1781381
668,Ropa,Chamarra de Cuero,67,2283494
8715,Juguetes,Juguete de Construcción,10,2160630
3445,Muebles,Estantería Modular,17,889364
3311,Tecnología,Tablet,80,4009487
414,Juguetes,Camión de Bomberos,66,2895118
5367,Tecnología,Smartwatch,26,3477174
2614,Alimentos,Miel Orgánica,93,1879184
4642,Ropa,Suéter de Cachemira,81,3509059
3121,Juguetes,Dinosaurio de Juguete,53,429245
2843,Juguetes,Bloques Magnéticos,45,1424583
3338,Tecnología,Monitor,84,66929
4854,Alimentos,Azúcar Morena,13,566261
8507,Muebles,Cama Queen Size,2,3066420
1067,Tecnología,Impresora,72,543474
8037,Muebles,Escritorio de Oficina,43,1779022
3340,Alimentos,Sal de Mar,48,478862
4404,Tecnología,Router,4,3462053
8280,Tecnología,Mouse Inalámbrico,48,2888295
7704,Ropa,Guantes de Invierno,99,2514564
8199,Tecnología,Teclado Mecánico,6,724759
1992,Alimentos,Quinoa,77,2663711
2761,Muebles,Silla Reclinable,64,221004
2771,Muebles,Armario de Madera,9,740217
9134,Tecnología,Cámara Digital,68,285868
9560,Ropa,Bufanda de Seda,6,1590535
8917,Muebles,Mesita de Noche,34,3359575
8087,Alimentos,Lentejas,95,3031755
6803,Alimentos,Almendras,17,3400011
7111,Juguetes,Carrito de Carreras,69,3412520
