,id_item_facturas,factura_id,product_id,price,quantity
0,1,4286,8940,3428694,3
1,2,1534,589,3616213,7
2,3,4739,1970,591154,5
3,4,391,5178,2031490,4
4,5,501,225,3179639,7
5,6,2857,3697,3551221,8
6,7,531,9569,2395743,7
7,8,4807,6774,497943,9
8,9,2480,4980,851582,2
9,10,3563,7362,2702166,1
10,11,1518,4639,2456649,8
11,12,1014,3634,2877681,4
12,13,3651,3481,1910605,1
13,14,3632,2218,2707979,8
14,15,2296,5210,3606104,2
15,16,1750,3092,2422869,4
16,17,1578,1940,3466434,6
17,18,639,2492,4021112,6
18,19,1370,6311,2547881,4
19,20,4974,9177,217339,7
20,21,1818,8785,818434,6
21,22,160,7757,1347629,6
22,23,3115,687,1676713,6
23,24,2903,8565,3233258,1
24,25,4532,512,3393819,2
25,26,1384,3485,2242005,2
26,27,2578,1103,2359015,6
27,28,926,8652,3037652,1
28,29,4492,1464,3884770,3
29,30,485,9688,3187431,8
30,31,2987,8621,2766189,8
31,32,383,7935,4013783,2
32,33,3330,6885,1524702,7
33,34,3898,9675,813590,7
34,35,4764,7108,302548,6
35,36,4265,4631,217929,3
36,37,1521,354,3357891,9
37,38,773,5047,2443339,8
38,39,4252,1833,4074436,3
39,40,2496,1464,3884770,9
40,41,2157,6305,2343136,8
41,42,3386,3728,231323,6
42,43,1279,1851,816875,6
43,44,2867,4943,3140636,7
44,45,3695,7209,3858445,4
45,46,3443,9676,2891370,8
46,47,2844,7190,470480,2
47,48,4214,9199,3539386,7
48,49,3785,5205,2436263,4
49,50,756,5773,2548218,9
50,51,2094,1149,369435,8
51,52,167,3633,2208689,8
52,53,2024,7752,2354424,1
53,54,3927,3431,1800209,2
54,55,362,5389,25525,1
55,56,4824,4134,2395027,2
56,57,981,3464,3248547,6
57,58,3929,7823,608339,3
58,59,3239,3632,2318622,7
59,60,4707,7369,3393145,9
60,61,1618,9622,3329081,5
61,62,1674,8014,3092661,1
62,63,749,357,3109972,3
63,64,2559,8490,1904498,8
64,65,3259,6216,3227234,1
65,66,1471,8367,2489755,5
66,67,2031,8048,1037921,2
67,68,926,9316,2905353,3
68,69,796,4670,2982391,1
69,70,3787,5625,59642,2
70,71,3630,7649,2539036,7
71,72,3825,4301,1977450,3
72,73,3628,6061,842484,3
73,74,3392,2631,3483029,4
74,75,748,8382,3483492,1
75,76,873,4170,2104484,4
76,77,449,321,959620,2
77,78,2413,796,4157539,4
78,79,377,9811,1886428,1
79,80,3804,800,1361529,4
80,81,1412,6702,3191053,6
81,82,580,5347,1492901,2
82,83,2030,7096,1852943,1
83,84,4876,4304,3148386,1
84,85,4655,6569,2986813,3
85,86,4789,2129,1241276,7
86,87,3704,5047,2443339,6
87,88,2686,1960,758665,2
88,89,2567,512,358778,2
89,90,685,739,4000600,3
90,91,3294,2142,2866729,4
91,92,2327,838,2571510,9
92,93,1903,6476,3566511,5
93,94,2672,8900,3095020,3
94,95,55,9803,3867248,4
95,96,478,7510,1804000,4
96,97,1714,5844,1900412,9
97,98,4768,9870,2414571,3
98,99,4452,1197,2756122,2
99,100,2658,9197,1117949,9
100,101,4057,4134,2395027,9
101,102,2156,8498,2984623,6
102,103,1089,4685,334686,8
103,104,1401,2708,1631097,8
104,105,189,9187,93001,2
105,106,4694,6570,2816227,5
106,107,4517,5696,2156670,2
107,108,940,3914,3280516,7
108,109,3779,4685,334686,6
109,110,2641,5274,2958088,8
110,111,128,5205,2436263,6
111,112,3117,3248,3501899,5
112,113,3267,5820,3072443,6
113,114,2113,4601,2845038,8
114,115,1708,8399,3178080,3
115,116,687,1931,1183530,3
116,117,3998,3976,343110,9
117,118,129,7134,449589,4
118,119,3290,356,1079283,7
119,120,685,7562,447314,9
120,121,1342,6492,4185043,2
121,122,2381,2012,1781381,9
122,123,4774,2584,902168,5
123,124,2625,9984,145904,1
124,125,3819,8299,259122,9
125,126,3127,2654,2464273,3
126,127,3339,2102,3532225,3
127,128,4418,3158,3450934,8
128,129,937,9197,1117949,4
129,130,1165,2848,342225,1
130,131,3441,3984,3873145,5
131,132,2458,1251,2064006,3
132,133,4146,544,2470380,9
133,134,3620,8068,3634998,6
134,135,4187,4888,80955,5
135,136,3686,4564,1096299,3
136,137,1032,1950,3465170,9
137,138,2653,829,528817,9
138,139,963,1354,835703,2
139,140,4387,9423,2753342,3
140,141,4718,4206,3154956,3
141,142,1068,5096,1704596,7
142,143,377,1783,3130190,3
143,144,1176,4028,1828808,8
144,145,3249,9014,537957,3
145,146,1952,5619,2749130,8
146,147,2172,7079,1135808,3
147,148,4571,9288,1981030,4
148,149,70,6625,3880179,4
149,150,2522,9053,2453574,5
150,151,118,6731,1032235,6
151,152,4254,2506,4037118,3
152,153,1692,5615,639213,9
153,154,3342,26,2206540,5
154,155,4219,9847,843285,6
155,156,4603,2635,2917484,7
156,157,2062,6382,4104046,4
157,158,1776,4868,1834494,4
158,159,340,9656,3992471,9
159,160,2728,5553,776735,5
160,161,2754,8994,2985381,2
161,162,617,4436,2768421,8
162,163,3511,1251,4053334,3
163,164,3178,6476,2708737,8
164,165,2136,140,4022755,7
165,166,3797,1568,3143879,8
166,167,2210,9477,3428821,4
167,168,1262,5456,2480447,4
168,169,1234,2413,2961963,3
169,170,2378,2457,2794072,9
170,171,3026,6367,1701100,8
171,172,4201,3196,529954,1
172,173,485,9620,1012691,5
173,174,4380,6626,2952191,2
174,175,975,3448,3226139,6
175,176,4835,9817,1243214,5
176,177,1839,441,2763451,5
177,178,1053,5047,3942895,4
178,179,3482,7331,1772873,2
179,180,2532,2288,2379401,7
180,181,2385,7584,1481066,2
181,182,1152,1109,2264961,8
182,183,4501,3111,2846427,4
183,184,3774,685,1507475,9
184,185,4383,1924,2990815,9
185,186,4970,1121,1272740,4
186,187,4471,8474,3757399,6
187,188,1046,4287,510242,1
188,189,3092,672,2831770,3
189,190,2574,7897,3934176,9
190,191,1513,6488,3817588,8
191,192,485,5005,4183653,7
192,193,1835,1047,1753329,5
193,194,1549,6341,3123493,5
194,195,1581,5493,1385116,4
195,196,1210,3954,1260483,6
196,197,3850,8920,2504666,5
197,198,3980,9181,1305762,7
198,199,3207,8805,774629,3
199,200,1528,9923,3129769,8
200,201,4355,8224,1652115,2
201,202,4868,9187,93001,4
202,203,982,6423,2542784,9
203,204,1171,8392,2789060,6
204,205,4225,7011,569252,1
205,206,368,4797,187308,9
206,207,894,2241,259375,6
207,208,3449,330,223110,3
208,209,4922,7351,2503107,5
209,210,1830,6337,805124,4
210,211,843,3946,1544246,5
211,212,1970,7857,1553554,4
212,213,2807,5612,3822474,4
213,214,1500,9558,4163688,9
214,215,4980,5233,3374444,3
215,216,1432,6888,1044450,8
216,217,4690,604,172313,3
217,218,2861,3112,1120013,5
218,219,4247,3052,2130640,4
219,220,697,1228,527090,6
220,221,681,6049,2391068,4
221,222,212,992,668150,9
222,223,4025,8785,818434,8
223,224,916,2077,355282,3
224,225,2438,1988,3717343,3
225,226,3995,6456,80196,6
226,227,3879,4817,2789355,5
227,228,4134,1205,4210231,5
228,229,4350,7351,2503107,1
229,230,2132,6495,1153372,3
230,231,772,997,2224189,8
231,232,1428,1370,1654895,6
232,233,130,4685,2093111,7
233,234,2194,3757,1192080,5
234,235,3413,836,4108216,4
235,236,1778,9887,1784877,4
236,237,441,4912,2383360,4
237,238,2377,9466,1628359,5
238,239,3022,1019,2648758,7
239,240,3877,3513,2740032,9
240,241,340,7822,1065847,5
241,242,468,4060,3915138,8
242,243,3845,1085,248003,6
243,244,2756,8718,2143318,7
244,245,2204,6866,2994269,4
245,246,4124,6932,701719,8
246,247,1915,2003,2429060,2
247,248,3927,782,4069424,3
248,249,3296,5088,1737071,8
249,250,4814,1957,4140522,9
250,251,1123,1295,1562820,9
251,252,750,8804,3465212,5
252,253,3266,5859,2472191,9
253,254,947,1815,2234129,2
254,255,4088,9612,2359478,1
255,256,2114,684,2799042,1
256,257,1666,5223,690852,1
257,258,3044,9726,3091776,7
258,259,3200,8885,89168,6
259,260,4299,9124,571990,8
260,261,73,6644,3656479,2
261,262,303,6778,2842721,1
262,263,1480,7330,462435,1
263,264,4295,9013,3204026,5
264,265,4274,4995,1373365,3
265,266,1217,3624,4209852,2
266,267,4734,8655,3787051,6
267,268,982,1097,873190,3
268,269,2180,5696,2156670,1
269,270,274,5521,1360644,9
270,271,750,9579,3254991,1
271,272,1986,4631,217929,6
272,273,250,1844,4210189,5
273,274,4158,6671,1639353,3
274,275,2632,1681,960968,4
275,276,1365,616,1762511,4
276,277,4679,2948,2629173,3
277,278,2833,3170,2356572,9
278,279,4428,7974,3049025,8
279,280,1677,3909,2984539,3
280,281,3779,4378,3734738,7
281,282,4168,445,4031221,5
282,283,4760,5653,1523902,4
283,284,2663,1182,3866363,4
284,285,1871,2351,2762735,5
285,286,1863,212,404099,9
286,287,3216,5210,3606104,7
287,288,465,8963,4022755,7
288,289,3337,4490,866408,2
289,290,4406,4933,2030521,7
290,291,3989,7641,645826,9
291,292,2425,12,1413505,2
292,293,2162,4349,428360,9
293,294,1863,2045,543095,2
294,295,458,1026,3513482,1
295,296,3659,1044,2129798,7
296,297,4547,5775,2801233,2
297,298,3379,6863,3835616,2
298,299,4267,1737,1038047,3
299,300,418,8836,2545817,8
300,301,142,5617,900062,1
301,302,599,3423,3131538,4
302,303,3510,258,3336578,8
303,304,3814,5653,1523902,4
304,305,302,3742,355324,8
305,306,1361,5418,604759,4
306,307,2678,1909,3828455,2
307,308,4211,5618,490824,8
308,309,3487,6210,3132549,3
309,310,114,5346,2797273,8
310,311,4612,8215,1544962,6
311,312,1972,212,2052971,3
312,313,795,9720,42794,4
313,314,2843,9185,4010414,7
314,315,3414,7679,2717793,5
315,316,4393,7007,838567,8
316,317,111,8281,2642440,7
317,318,154,3471,2872837,3
318,319,4101,512,358778,7
319,320,1802,8379,1068753,1
320,321,3273,9630,409659,4
321,322,4024,7073,3419175,7
322,323,1531,9308,3971621,6
323,324,3938,5658,1526513,1
324,325,187,1027,3635546,8
325,326,9,3663,3929796,2
326,327,3816,5440,177536,3
327,328,1025,9395,1759647,6
328,329,496,6680,3640558,7
329,330,579,2183,1983136,8
330,331,3272,720,3265606,1
331,332,1953,7666,757360,6
332,333,1470,6590,3533489,2
333,334,3889,9378,1032319,4
334,335,4210,9640,2663627,5
335,336,4428,1180,2896129,7
336,337,2530,1931,1923283,2
337,338,4213,1077,3648771,2
338,339,4255,854,1301003,4
339,340,322,2929,1815877,8
340,341,2004,6850,2177099,4
341,342,416,1909,3828455,8
342,343,2458,7775,1541213,5
343,344,1211,6569,2986813,8
344,345,2000,8641,530249,4
345,346,1893,1920,3027838,6
346,347,3780,6432,2291033,4
347,348,4922,6142,1408914,8
348,349,156,6656,2826589,5
349,350,1532,5693,3049193,8
350,351,1656,5732,3835826,7
351,352,827,8498,85125,9
352,353,4614,6471,1289925,3
353,354,2931,7482,369982,9
354,355,2459,1774,4101856,9
355,356,2725,1967,3194802,7
356,357,3644,3918,951196,7
357,358,2032,1051,1632276,9
358,359,2111,7767,2132578,6
359,360,4786,7178,4150336,6
360,361,4233,9712,3951109,2
361,362,1056,6471,1289925,2
362,363,2772,6570,2816227,3
363,364,4727,4424,1797555,7
364,365,458,5194,2617590,5
365,366,4115,9402,2075589,1
366,367,2756,9374,2298867,1
367,368,791,5962,2856831,1
368,369,1071,2761,221004,4
369,370,2165,4752,2922791,2
370,371,2629,9528,307265,5
371,372,1848,1163,2293308,4
372,373,3850,8443,2829495,3
373,374,4632,117,85925,2
374,375,3382,3872,2941998,6
375,376,335,5855,4034548,5
376,377,3593,2077,355282,5
377,378,380,4136,2046779,4
378,379,1876,6405,1544035,6
379,380,2995,9338,3716753,7
380,381,715,2938,2271995,9
381,382,1558,357,2979316,7
382,383,4616,5339,815991,5
383,384,3645,5611,1447959,7
384,385,3688,9605,2835518,9
385,386,481,727,1690402,5
386,387,1076,5828,72699,3
387,388,4037,687,1676713,5
388,389,4419,2092,1881879,5
389,390,315,2191,582730,7
390,391,3712,2918,4200375,1
391,392,4385,3634,2877681,4
392,393,39,3388,1063698,6
393,394,2416,5290,3980256,8
394,395,1331,5335,2656298,5
395,396,4575,3697,3551221,3
396,397,4111,9776,489434,6
397,398,2934,2547,3617855,3
398,399,862,9376,3824538,8
399,400,4267,8135,2740159,1
400,401,565,3678,2533897,1
401,402,837,1228,527090,6
402,403,53,3728,231323,2
403,404,1136,3159,2229706,4
404,405,1143,690,3214472,7
405,406,4217,9073,3571271,6
406,407,4449,9990,290502,3
407,408,415,8937,399213,1
408,409,4663,5112,3119197,5
409,410,3608,4145,3259246,6
410,411,3209,1920,3250190,7
411,412,3324,2663,661663,6
412,413,18,8091,1531188,5
413,414,3840,9510,1899149,1
414,415,1137,6802,2514227,5
415,416,2358,4910,239705,7
416,417,2844,604,172313,7
417,418,3430,6625,3880179,6
418,419,2232,7361,773576,9
419,420,4618,4789,2344905,4
420,421,2890,8901,1894979,8
421,422,886,1214,3262994,1
422,423,3561,4480,550593,4
423,424,1731,1972,3726735,1
424,425,855,4929,3260804,1
425,426,930,2579,2962847,4
426,427,726,6426,2208225,3
427,428,4222,7528,1733659,7
428,429,4209,6928,3190506,4
429,430,3176,697,1290388,3
430,431,4279,5297,3685205,3
431,432,4603,4320,2450247,5
432,433,2972,999,1167482,2
433,434,2251,1216,1002919,5
434,435,4126,4325,2834929,8
435,436,3013,5081,586900,4
436,437,2009,1969,623460,3
437,438,1771,1959,371751,1
438,439,2601,2196,3566258,4
439,440,2062,4700,3491453,6
440,441,4237,3172,514454,7
441,442,3512,4356,2783247,5
442,443,1225,6870,2429945,6
443,444,2652,7739,1691371,8
444,445,1646,6457,2123311,8
445,446,2707,921,3354310,2
446,447,3513,4312,1350873,8
447,448,2210,6799,486149,5
448,449,4543,4781,3016929,9
449,450,622,3344,2027825,4
450,451,1376,1957,3866068,9
451,452,940,2671,1983010,7
452,453,3098,4491,2624581,1
453,454,4660,7278,3554338,2
454,455,2442,863,1004478,5
455,456,3162,1148,2691636,9
456,457,962,7791,2712486,8
457,458,4600,5223,690852,3
458,459,3533,2938,1762301,3
459,460,98,1370,1654895,1
460,461,4403,9618,1985073,8
461,462,1795,7968,113471,9
462,463,2325,713,3080236,8
463,464,1299,7993,1732185,7
464,465,2400,2605,4003295,6
465,466,4696,672,3108456,4
466,467,3454,7745,3753229,2
467,468,3476,3132,656103,3
468,469,256,8239,1735934,2
469,470,4433,856,1959928,6
470,471,2625,5870,1702912,9
471,472,4923,7337,2382139,1
472,473,4726,6403,1961655,4
473,474,1252,5388,3417280,9
474,475,1998,1250,3416522,6
475,476,3838,4581,3457083,7
476,477,3640,3553,1091666,8
477,478,2173,4623,2235182,4
478,479,2137,8973,3583064,4
479,480,243,6802,2514227,1
480,481,4423,4043,2427123,9
481,482,4596,2386,629020,1
482,483,1562,8916,111365,6
483,484,4095,1146,1675702,3
484,485,4609,6289,2458250,7
485,486,742,8265,2354887,9
486,487,2696,1574,3412605,4
487,488,1544,8735,4211705,9
488,489,1504,7887,1707081,9
