,product_id,product_category,product_name,product_stock,unit_price_cop,product_url
0,1480,Tecnologia,Smartphone,48,209421,https://img.freepik.com/vector-gratis/pantalla-realista-smartphone-diferentes-aplicaciones_52683-30241.jpg
1,1597,Alimentos,Arroz Integral,80,3444405,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbJLBI3o26esIT8D4n-6uYDCXRxg-RJEk-gw&s
2,5142,Juguetes,Lego Star Wars,14,1138504,"https://media.admagazine.com/photos/61f9616c9b19d943aa117c2a/3:2/w_1278,h_852,c_limit/GettyImages-521952820.jpg"
3,8447,Juguetes,Muneca Barbie,69,2307502,https://arisma.com.co/wp-content/uploads/2021/08/products-WhatsApp-Image-2021-08-09-at-1.12.01-PM-(2).jpeg
4,6025,Ropa,Camisa de Algodon,25,3307641,https://hmcolombia.vtexassets.com/arquivos/ids/3941478/Camisa-Slim-Fit---Negro---H-M-CO.jpg?v=638606870434200000
5,1883,Ropa,Jeans,74,3163928,https://offcorss.vtexassets.com/arquivos/ids/804333-800-auto?v=638264226764870000&width=800&height=auto&aspect=true
6,7781,Juguetes,Pelota de Futbol,20,1432375,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwLn-svfuwtdts1rY5pCats1FsHrh54UclXA&s
7,8642,Alimentos,Frijoles Negros,60,74552,https://images.cookforyourlife.org/wp-content/uploads/2015/08/Basic-Black-Beans-2-e1666973834544.jpg
8,7193,Alimentos,Aceite de Oliva,45,1932676,https://s1.abcstatics.com/abc/www/multimedia/bienestar/2023/04/20/aceite-oliva-adobe-RbEqIPowncaTwPah8tAFW8K-1200x840@abc.jpg
9,7739,Ropa,Chaqueta de Cuero,61,2578923,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHiyFzEponIRRjtsCeuyQ3N4pdoYCD5cyucQ&s
10,1804,Muebles,Sofa,22,812832,https://www.ikea.com/co/es/images/products/vimle-sofa-3-puestos-gunnared-beige__0514366_pe639439_s5.jpg?f=xl
11,6986,Tecnologia,Computador,15,3688238,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdzqeyZVc0ln_z_h55zB_N63dYG3wFePzEPg&s
12,568,Ropa,Vestido de Verano,47,2827347,https://media.istockphoto.com/id/1440977634/photo/vertical-shot-of-the-beautiful-pink-dress-isolated-on-the-white-background.jpg?s=612x612&w=0&k=20&c=3lSPxjs-xh7PGeW2eGnPlawyw9gcJPlnc1QWnwnkNyI=
13,1376,Ropa,Zapatillas de Deporte,40,341256,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQO9KPUVXrT9Sro_QEXr-ozCsEO0YWr_Z_D9A&s
14,7339,Alimentos,Leche Deslactosada,49,3433622,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr6rkHxYlUHBhgKPsKF4y5ozWAILQjaiiHxQ&s
